Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang,absS12
geom_15.out,-1.2443194150836814,-1.4326897802273275,0.648081515678326,2.548473792409881,1.0,1.0,1.0,9.848857801796104,0.004147153
geom_475.out,-2.232864189134951,-2.420027048775152,0.6498859385986795,3.9481520302132487,0.2588189,0.9756711,0.9970131,9.449351122715251,0.0006369652
42_ang_x_job_005.out,-1.5217793566474433,-1.7083581732011357,0.6507604989223722,4.246191908110136,1.0,1.0,1.0,5.1613951602255765,0.002023032
md_003.out,-2.4490615947110164,-2.633804208268433,0.6535177479285117,5.077434581036864,0.9995611,0.4418306,1.0,7.504345493204454,0.0001384696
52_ang_xy_job_008.out,-2.430519131324363,-2.6142873338047905,0.6549856685924753,5.223146049011075,1.0,1.0,1.0,8.218272324521742,0.0001377739
geom_428.out,-1.8049220206295777,-1.9856091626287011,0.6596489234451334,4.000622592672296,1.0,1.0,1.0,5.65685424949238,0.0006223301
35_ang_34_34.out,-1.7984099907070834,-1.9789207844968786,0.6599168327378978,3.505545749380544,1.0,1.0,1.0,5.947268280479703,0.0006089688
geom_516.out,-1.5933827760872445,-1.7708037682095612,0.6646285727096471,4.003570556733201,1.0,0.4999994,0.9763998,4.89977126519606,0.002275523
geom_375.out,-2.728459940301065,-2.903797643504449,0.6678244217834671,2.6049801797758465,-3.149271e-05,-0.5655437,-0.5655417,8.029726245161164,0.003814032
md_006.out,-1.6219161286056103,-1.7969529939548146,0.6682871871996389,3.946093583036393,0.9954105,0.5622232,1.0,4.940733052741364,0.002087081
44_ang_xy_job_008.out,-1.8138364317965883,-1.9870858655786126,0.6710433335151899,4.427301508740962,1.0,1.0,1.0,7.73692445355388,0.00105894
5_12_ang.out,-1.8568507373717251,-2.0292951457377515,0.6722883595176204,5.002576369432055,1.0,1.0,1.0,5.141984052872976,0.0006510746
geom_122.out,-2.509208000495447,-2.6794505458090483,0.6757055011606613,3.640394567749216,0.8660148,-0.2743946,0.9970095,9.85390202418108,0.0002911904
43_ang_x_job_011.out,-1.6893354442125932,-1.8582852150909295,0.6777198860095488,4.31459874377676,1.0,1.0,1.0,7.38173421358423,0.001611663
geom_522.out,-2.6979378194962247,-2.8666005799095142,0.6781679160797907,5.009298837796763,1.0,-0.5,0.9535736,6.482688457412712,0.0001287933
md_032.out,-3.0470840838179245,-3.214728282392065,0.6797603070633651,6.168300129375434,0.9901232,-0.1292197,1.0,6.9065806437386215,4.825394e-06
geom_339.out,-2.837923442086384,-2.996924067085599,0.6934248080985875,3.642274866624704,-3.149271e-05,-0.5655437,-0.5655417,9.667540306211814,3.873373e-05
40_ang_x_job_014.out,-1.3734144187072213,-1.5312989978333145,0.6952090562358244,4.048469552868096,1.0,1.0,1.0,5.0,0.003078546
35_ang_18_18.out,-0.8789459759971967,-1.0365427905565525,0.6956698560728232,3.500175785314218,1.0,1.0,1.0,4.327817001676481,0.01485456
geom_19.out,-1.9298925587061213,-2.0863572355487774,0.697485724280081,2.634124742262598,-4.706882e-05,0.997716,0.9970094,6.786138819372914,0.0001313562
47_ang_xy_job_010.out,-2.046112475424315,-2.201262686727222,0.6995999804928715,4.779611520887446,1.0,1.0,1.0,9.087904048789248,0.0003903165
46_ang_xy_job_000.out,-1.3015246570850845,-1.4550230158161495,0.7022659977072885,4.64990070428391,1.0,1.0,1.0,4.654030511288038,0.003258912
5_ang_54_54.out,-2.2636256289777954,-2.415843463703532,0.7043396955394783,5.052798659218473,1.0,1.0,1.0,9.127978965795222,0.0002000443
35_ang_22_22.out,-0.8710324531064496,-1.0228300915997663,0.7050215004473819,3.5126942974446265,1.0,1.0,1.0,4.682947789587238,0.01384009
md_045.out,-1.8072661980241622,-1.9583684003117132,0.7061513564880391,4.38066797235707,0.993755,0.9618551,1.0,5.501319340924774,0.001072428
geom_119.out,-1.981853649241153,-2.129990906548317,0.7109887725357759,4.151549667830074,-0.707083,0.999741,0.9969918,10.157729357508495,0.0001345672
